
============================================================================
        Event  : 2 - run:  500106 - timestamp 1603205047000000000 - weight 1
============================================================================
 date:      20.10.2020  14:44:07.000000000
 detector : unknown
 event parameters: 
 parameter Event Number [int]: 2, 
 parameter ProcessID [int]: 500106, 
 parameter Run ID [int]: 500106, 
 parameter beamPDG1 [int]: 11, 
 parameter beamPDG2 [int]: -11, 
 parameter Energy [float]: 250, 
 parameter _weight [float]: 1, 
 parameter alphaQCD [float]: 1e-06, 
 parameter beamPol1 [float]: -1, 
 parameter beamPol2 [float]: 1, 
 parameter crossSection [float]: 10264, 
 parameter crossSectionError [float]: 5.54532, 
 parameter scale [float]: 249.158, 
 parameter sqme [float]: 3.8964, 
 parameter BeamSpectrum [string]: CIRCE2: energy_spread/250_SetA_ee024.circe, 
 parameter processName [string]: sw_sl0, 

 collection name : MCParticle
 parameters: 

--------------- print out of MCParticle collection --------------- 

  flag:  0x0
  simulator status bits: [sbvtcls]  s: created in simulation b: backscatter v: vertex is not endpoint of parent t: decayed in tracker c: decayed in calorimeter l: has left detector s: stopped o: overlay


[   id   ]index|      PDG |    px,     py,        pz    | px_ep,   py_ep , pz_ep      | energy  |gen|[simstat ]| vertex x,     y   ,   z     | endpoint x,    y  ,   z     |    mass |  charge |            spin             | colorflow | [parents] - [daughters]
[00000033]   28|        21|-1.13e+01, 9.50e+00,-1.27e+01| 0.00e+00, 0.00e+00, 0.00e+00| 1.95e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.37e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (511, 510)   | [21] - [43] 
[00000034]   29|        21|-1.47e+00, 1.86e-01, 1.53e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.13e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.21e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (512, 511)   | [25] - [38] 
[00000035]   30|        21|-5.68e+01,-1.30e+01, 1.74e+01| 0.00e+00, 0.00e+00, 0.00e+00| 6.10e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.49e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (513, 512)   | [25] - [31,32] 
[00000036]   31|        21|-5.26e+01,-1.16e+01, 1.53e+01| 0.00e+00, 0.00e+00, 0.00e+00| 5.61e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.83e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (514, 513)   | [30] - [33,34] 
[00000037]   32|        21|-4.21e+00,-1.43e+00, 2.16e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.94e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.96e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (515, 514)   | [30] - [39] 
[00000038]   33|        21|-1.15e+01,-1.35e+00, 3.39e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.20e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.38e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (516, 515)   | [31] - [40] 
[00000039]   34|        21|-4.12e+01,-1.03e+01, 1.19e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.41e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 9.54e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (517, 516)   | [31] - [41] 
[00000040]   35|         4|-8.55e+00, 2.78e+00, 5.46e-01| 0.00e+00, 0.00e+00, 0.00e+00| 9.01e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.06e-07| 6.67e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (518, 517)   | [23] - [45] 
[00000041]   36|        21|-1.87e+00, 3.33e+00,-2.54e-02| 0.00e+00, 0.00e+00, 0.00e+00| 3.82e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 7.30e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (519, 518)   | [24] - [45] 
[00000042]   37|        21|-2.65e-01,-4.28e-02, 4.51e-01| 0.00e+00, 0.00e+00, 0.00e+00| 5.25e-01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (520, 519)   | [26] - [45] 
[00000043]   38|        21|-1.47e+00, 1.86e-01, 1.53e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.13e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.21e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (521, 520)   | [29] - [45] 
[00000044]   39|        21|-4.21e+00,-1.43e+00, 2.16e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.94e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.96e-08| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (522, 521)   | [32] - [45] 
[00000045]   40|        21|-1.15e+01,-1.35e+00, 3.39e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.20e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.38e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (523, 522)   | [33] - [45] 
[00000046]   41|        21|-4.12e+01,-1.03e+01, 1.19e+01| 0.00e+00, 0.00e+00, 0.00e+00| 4.41e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 9.54e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (524, 523)   | [34] - [45] 
[00000047]   42|        21|-1.57e+00, 2.07e+00, 2.05e-01| 0.00e+00, 0.00e+00, 0.00e+00| 2.60e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (525, 524)   | [22] - [45] 
[00000048]   43|        21|-1.13e+01, 9.50e+00,-1.27e+01| 0.00e+00, 0.00e+00, 0.00e+00| 1.95e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.37e-07| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (526, 525)   | [28] - [45] 
[00000049]   44|        -3|-9.77e+00, 9.87e+00,-1.88e+01| 0.00e+00, 0.00e+00, 0.00e+00| 2.34e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.77e-07| 3.33e-01| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 526)   | [27] - [45] 
[00000050]   45|        92|-9.16e+01, 1.46e+01,-1.14e+01| 0.00e+00, 0.00e+00, 0.00e+00| 1.22e+02| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 7.84e+01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [35,36,37,38,39,40,41,42,43,44] - [46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63] 
[00000051]   46|     20413|-6.06e+00, 2.98e+00, 1.64e-01| 0.00e+00, 0.00e+00, 0.00e+00| 7.17e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.39e+00| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [64,65] 
[00000052]   47|      2214|-3.11e+00, 1.25e+00, 5.42e-01| 0.00e+00, 0.00e+00, 0.00e+00| 3.62e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.25e+00| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [66,67] 
[00000053]   48|      -213|-1.29e+00, 1.03e+00, 9.92e-01| 0.00e+00, 0.00e+00, 0.00e+00| 2.01e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.91e-01|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [68,69] 
[00000054]   49|     -2114|-1.37e+00, 8.17e-01, 3.22e-01| 0.00e+00, 0.00e+00, 0.00e+00| 2.03e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.22e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [70,71] 
[00000055]   50|       311|-1.46e+00,-3.63e-01, 1.08e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.92e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.98e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [72] 
[00000056]   51|      -321|-4.49e+00,-4.83e-01, 1.18e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.69e+00| 1 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.94e-01|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [] 
[00000057]   52|       213|-2.90e+00,-3.28e-01, 1.07e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.21e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.24e-01| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [73,74] 
[00000058]   53|      -213|-2.37e+01,-6.18e+00, 7.41e+00| 0.00e+00, 0.00e+00, 0.00e+00| 2.56e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.10e-01|-1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [75,76] 
[00000059]   54|       111|-1.62e+01,-3.66e+00, 4.91e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.73e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00|-1.93e-03,-4.37e-04, 5.87e-04| 1.35e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [77,78] 
[00000060]   55|       111|-4.60e+00,-1.22e+00, 4.66e-01| 0.00e+00, 0.00e+00, 0.00e+00| 4.79e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00|-2.68e-03,-7.08e-04, 2.71e-04| 1.35e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [79,80] 
[00000061]   56|     10213|-2.69e+00, 6.98e-01, 8.50e-01| 0.00e+00, 0.00e+00, 0.00e+00| 3.15e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.21e+00| 1.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [81,82] 
[00000062]   57|       331|-1.34e+00,-4.50e-01, 8.20e-01| 0.00e+00, 0.00e+00, 0.00e+00| 1.89e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 9.58e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [83,84,85] 
[00000063]   58|       313|-1.99e+00, 1.61e+00,-1.30e+00| 0.00e+00, 0.00e+00, 0.00e+00| 3.00e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.75e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [86,87] 
[00000064]   59|       335|-4.36e+00, 3.53e+00,-3.75e+00| 0.00e+00, 0.00e+00, 0.00e+00| 6.91e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.51e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [88,89] 
[00000065]   60|      -313|-2.34e+00, 2.49e+00,-4.29e+00| 0.00e+00, 0.00e+00, 0.00e+00| 5.56e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.92e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [90,91] 
[00000066]   61|     10113|-6.48e+00, 5.39e+00,-8.30e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.19e+01| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 1.42e+00| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [92,93] 
[00000067]   62|       113|-3.42e+00, 4.25e+00,-6.27e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.34e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 7.33e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [94,95] 
[00000068]   63|       311|-3.92e+00, 3.28e+00,-7.34e+00| 0.00e+00, 0.00e+00, 0.00e+00| 8.96e+00| 2 |[    0   ]| 0.00e+00, 0.00e+00, 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00| 4.98e-01| 0.00e+00| 0.00e+00, 0.00e+00, 0.00e+00|  (0, 0)   | [45] - [96] 
